Entity,Code,Year,Homelessness Rate
Australia,AUS,2021,29.73753
Canada,CAN,2022,23.89166
Costa Rica,CRI,2023,34.99999
Czechia,CZE,2022,85.87739
Denmark,DNK,2022,9.05157
Finland,FIN,2023,15.62167
France,FRA,2022,8.09507
Germany,DEU,2022,45.94382
Greece,GRC,2023,13.344173
Iceland,ISL,2021,52.077324
Ireland,IRL,2023,23.43826
Japan,JPN,2023,2.4767559
Mexico,MEX,2020,4.5213995
New Zealand,NZL,2018,4.22397
Norway,NOR,2020,1.22688
Poland,POL,2019,6.64557
Portugal,PRT,2022,13.9999
South Korea,KOR,2022,16.40385
Spain,ESP,2022,15.282989
Sweden,SWE,2017,6.4328856
United Kingdom,GBR,2023,16.49877
United States,USA,2023,75.54793